SUMLEV,COUNTY,PLACE,TRACT,BLOCK,UA,UATYPE,ZCTA,SDELM,SDSEC,SDUNI,POP100,HU100,INTPTLAT,INTPTLON,tot_pop,one_race,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,two_races,three_races,four_races,five_races,six_races
140,007,,950302,,,,,,,,2768,1538,28.0556461,-97.0591491,2768,2497,2297,21,5,122,4,48,271,0,1,3,0
140,007,,950400,,,,,,,,3349,2002,28.0171583,-97.0709124,3349,2772,2282,66,42,44,1,337,577,0,2,2,0
140,007,,950501,,,,,,,,2614,1355,28.0343118,-97.1810553,2614,2212,1951,19,23,23,3,193,402,0,1,0,0
140,007,,950502,,,,,,,,1761,981,27.939028,-97.1358193,1761,1509,1284,32,38,9,0,146,252,0,0,0,0
140,007,,950503,,,,,,,,2623,1840,27.991095,-97.0956423,2623,2269,1978,24,17,23,1,226,354,0,2,0,0
140,007,,990000,,,,,,,,0,0,27.9305294,-96.9381146,0,0,0,0,0,0,0,0,0,0,0,0,0
140,009,,020100,,,,,,,,2897,1171,33.7834399,-98.52597,2897,2726,2631,11,31,11,0,42,171,0,1,0,0
140,009,,020200,,,,,,,,2442,1226,33.6468145,-98.7818486,2442,2277,2210,3,29,5,0,30,165,0,3,0,0
140,009,,020300,,,,,,,,3221,1468,33.5235591,-98.5875742,3221,3008,2710,18,48,3,0,229,213,0,5,2,0
140,011,,950100,,,,,,,,1848,842,34.964179,-101.3566363,1848,1725,1646,13,17,10,0,39,123,0,0,5,0
140,013,,960101,,,,,,,,3474,1379,29.0640679,-98.4214542,3474,2803,2236,22,25,11,6,503,671,2,0,0,0
140,013,,960102,,,,,,,,3771,1637,28.8364736,-98.3126746,3771,3017,2398,37,46,21,0,515,754,0,1,1,0
140,013,,960203,,,,,,,,2906,1078,29.2124873,-98.7876465,2906,2151,1605,31,33,29,0,453,755,0,0,0,0
140,013,,960204,,,,,,,,4153,1431,29.1170533,-98.7535773,4153,3026,2085,46,77,11,0,807,1127,0,3,0,0
140,013,,960205,,,,,,,,6022,2083,29.0722559,-98.6754337,6022,4496,3159,53,59,44,1,1180,1526,0,1,0,0
140,013,,960206,,,,,,,,5493,1935,29.108533,-98.5814799,5493,4002,2662,54,76,13,7,1190,1491,0,0,1,0
140,013,,960300,,,,,,,,3135,1218,29.0364295,-98.5840518,3135,1803,1339,23,29,1,0,411,1332,0,1,0,0
140,013,,960401,,,,,,,,2391,878,29.1036787,-98.5149477,2391,1642,1153,21,21,8,0,439,749,0,1,0,0
140,013,,960403,,,,,,,,4747,1992,28.9484582,-98.496838,4747,3618,2744,48,27,14,1,784,1129,0,0,0,0
140,013,,960404,,,,,,,,4063,1589,28.9799665,-98.5229625,4063,3300,2928,26,36,30,1,279,763,0,2,0,0
140,013,,960500,,,,,,,,2533,1026,28.8323569,-98.7197766,2533,1980,1609,26,17,3,0,325,553,0,0,0,0
140,013,,960601,,,,,,,,2512,1020,28.9697355,-98.5952593,2512,2009,1695,20,11,4,2,277,503,0,0,0,0
140,013,,960602,,,,,,,,3781,1511,28.7572063,-98.4890398,3781,3046,2590,18,34,17,0,387,735,0,0,0,0
140,015,,760100,,,,,,,,2464,1116,29.6617125,-96.1047804,2464,2074,1542,271,33,7,0,221,390,0,0,0,0
140,015,,760201,,,,,,,,2078,903,29.823345,-96.1275409,2078,1750,1095,356,28,11,3,257,328,0,1,0,0
140,015,,760202,,,,,,,,4450,1745,29.7486954,-96.0961661,4450,3684,2555,332,52,25,2,718,766,0,3,0,0
140,015,,760301,,,,,,,,2773,1282,29.8551928,-96.2343237,2773,2407,1970,133,29,41,0,234,366,0,0,0,0
140,015,,760302,,,,,,,,5043,1960,29.7653317,-96.2473336,5043,4214,3009,343,67,60,2,733,829,0,0,0,0
140,015,,760400,,,,,,,,3505,2204,29.9608477,-96.4470209,3505,3252,2933,122,7,1,1,188,253,0,0,0,0
140,015,,760501,,,,,,,,4543,2112,30.0300092,-96.2714828,4543,4097,3585,259,18,19,0,216,446,0,1,0,0
